dtheta0,Nx,Ny,EIL2,delta,Energy
15.968891633362748,-71.28292793983573,48.46193256487228,1.0,1.0,56.134574458918195
15.959941819609707,-71.14004952716273,48.67142969861341,1.0,1.0,56.13458308717477
15.950986984366573,-70.99717111448972,48.879611308424806,1.0,1.0,56.13459170184815
15.942027119166653,-70.8542927018167,49.0864941320829,1.0,1.0,56.134600302902754
15.933062215522213,-70.7114142891437,49.292094522807055,1.0,1.0,56.134608890308854
15.924092264924884,-70.56853587647069,49.496428461610506,1.0,1.0,56.13461746405844
15.915117258835883,-70.42565746379768,49.699511569010376,1.0,1.0,56.13462602411546
15.906137188699113,-70.28277905112466,49.901359116442585,1.0,1.0,56.13463457046749
15.89715204592854,-70.13990063845165,50.10198603703941,1.0,1.0,56.13464310308728
15.888161821915952,-69.99702222577865,50.30140693612659,1.0,1.0,56.13465162194903
15.879166508031581,-69.85414381310564,50.49963610123249,1.0,1.0,56.13466012704051
15.870166095619066,-69.71126540043264,50.69668751167575,1.0,1.0,56.13466861834972
15.861160575996566,-69.56838698775962,50.89257484788142,1.0,1.0,56.134677095852304
15.852149940458633,-69.42550857508661,51.08731150024758,1.0,1.0,56.134685559526474
15.843134180273621,-69.2826301624136,51.28091057768868,1.0,1.0,56.13469400935435
15.83411328669088,-69.13975174974058,51.47338491594641,1.0,1.0,56.134702445337105
15.825087250927998,-68.99687333706758,51.66474708542976,1.0,1.0,56.13471086744969
15.816056064178351,-68.85399492439457,51.855009398900016,1.0,1.0,56.13471927566716
15.807019717613953,-68.71111651172157,52.04418391882066,1.0,1.0,56.134727669986006
15.797978202379475,-68.56823809904856,52.23228246444508,1.0,1.0,56.13473605039435
15.788931509594892,-68.42535968637554,52.41931661863392,1.0,1.0,56.13474441687439
15.779879630353403,-68.28248127370253,52.60529773442481,1.0,1.0,56.134752769418306
15.770822555722166,-68.13960286102952,52.790236941402135,1.0,1.0,56.13476110799989
15.761760276748744,-67.99672444835652,52.9741451518466,1.0,1.0,56.134769432633036
15.752692784444571,-67.8538460356835,53.15703306656404,1.0,1.0,56.134777743281425
15.743620069805488,-67.71096762301049,53.33891118067348,1.0,1.0,56.13478603994881
15.73454212379501,-67.56808921033749,53.51978978905947,1.0,1.0,56.13479432261864
15.725458937350655,-67.42521079766448,53.6996789916901,1.0,1.0,56.134802591277385
15.71637050138958,-67.28233238499146,53.87858869881023,1.0,1.0,56.13481084592635
15.707276806795532,-67.13945397231845,54.05652863582436,1.0,1.0,56.13481908654149
15.69817784443081,-66.99657555964545,54.23350834813732,1.0,1.0,56.13482731312753
15.689073605129057,-66.85369714697244,54.409537205794585,1.0,1.0,56.134835525666816
15.67996407969732,-66.71081873429942,54.584624407946514,1.0,1.0,56.134843724152056
15.670849258918016,-66.56794032162642,54.75877898719229,1.0,1.0,56.1348519085824
15.661729133543048,-66.42506190895341,54.93200981377865,1.0,1.0,56.13486007893869
15.652603694301988,-66.2821834962804,55.10432559965757,1.0,1.0,56.13486823522322
15.643472931891916,-66.13930508360738,55.27573490240419,1.0,1.0,56.13487637741696
15.634336836986936,-65.99642667093438,55.446246129038904,1.0,1.0,56.13488450551952
15.625195400232576,-65.85354825826137,55.61586753971445,1.0,1.0,56.13489261951848
15.616048612248575,-65.71066984558836,55.78460725126217,1.0,1.0,56.134900719416926
15.606896463624455,-65.56779143291536,55.95247324067149,1.0,1.0,56.134908805200325
15.597738944924291,-65.42491302024234,56.11947334841544,1.0,1.0,56.134916876867045
15.588576046681593,-65.28203460756933,56.2856152817261,1.0,1.0,56.13492493439972
15.579407759407314,-65.13915619489632,56.450906617724534,1.0,1.0,56.13493297780916
15.570234073578982,-64.9962777822233,56.61535480648002,1.0,1.0,56.134941007075284
15.561054979648194,-64.8533993695503,56.77896717396669,1.0,1.0,56.13494902219421
15.551870468040084,-64.71052095687729,56.94175092493372,1.0,1.0,56.13495702316847
15.542680529148836,-64.56764254420429,57.103713145704944,1.0,1.0,56.134965009984434
15.533485153341706,-64.42476413153128,57.26486080686459,1.0,1.0,56.13497298264076
15.524284330956313,-64.28188571885826,57.425200765901,1.0,1.0,56.13498094112652
15.515078052303371,-64.13900730618525,57.58473976973829,1.0,1.0,56.1349888854432
15.505866307664533,-63.99612889351224,57.74348445722651,1.0,1.0,56.13499681558686
15.496649087290622,-63.853250480839236,57.90144136153083,1.0,1.0,56.135004731546786
15.487426379568301,-63.71037206816622,58.05861690818261,1.0,1.0,56.13501263182971
15.478235427692754,-63.567493655493216,58.21511475749634,1.0,1.0,56.13514900845059
15.469001537947527,-63.42461524282021,58.37074314712862,1.0,1.0,56.135156058140055
15.459762134987697,-63.281736830147196,58.52560893313505,1.0,1.0,56.13516310431406
15.450517208773562,-63.13885841747418,58.67971815326626,1.0,1.0,56.135170146414836
15.441266749353447,-62.995980004801176,58.83307675148421,1.0,1.0,56.13517718430274
15.432010746957163,-62.85310159212817,58.98569058144628,1.0,1.0,56.13518421815089
15.422749191317886,-62.710223179455156,59.137565409565724,1.0,1.0,56.135191247409516
15.413482072448609,-62.56734476678215,59.28870691365559,1.0,1.0,56.13519827189019
15.40420938048255,-62.424466354109136,59.43912068760729,1.0,1.0,56.13520529191411
15.394931104967355,-62.28158794143613,59.588812240905824,1.0,1.0,56.135212306496726
15.385647236006212,-62.138709528763115,59.73778700292776,1.0,1.0,56.13521931603437
15.376357763477852,-61.99583111609011,59.88605032191353,1.0,1.0,56.135226320400385
15.367062677044522,-61.8529527034171,60.03360746893048,1.0,1.0,56.13523331915797
15.357761966637403,-61.71007429074409,60.18046363751618,1.0,1.0,56.13524031241789
15.348455621874752,-61.567195878071075,60.326623946278104,1.0,1.0,56.13524729975109
15.339143632527911,-61.42431746539807,60.47209344036013,1.0,1.0,56.13525428131448
15.3298259881502,-61.28143905272506,60.61687709258496,1.0,1.0,56.13526125642793
15.320502678660374,-61.13856064005205,60.760979806624846,1.0,1.0,56.13526822550978
15.311173693539851,-60.99568222737904,60.90440641203939,1.0,1.0,56.1352751883294
15.301839022364115,-60.85280381470603,61.04716167800883,1.0,1.0,56.13528214464682
15.29249865477748,-60.70992540203302,61.18925030067851,1.0,1.0,56.13528909424375
15.283152580263565,-60.56704698936001,61.33067691193009,1.0,1.0,56.13529603722546
15.273800788250224,-60.424168576687,61.471446081906485,1.0,1.0,56.135302973183926
15.264443268317912,-60.281290164013996,61.61156231702236,1.0,1.0,56.135309902147
15.255080009802402,-60.13841175134098,61.751030059805984,1.0,1.0,56.13531682391336
15.245711002375264,-59.995533338667975,61.88985369535539,1.0,1.0,56.13532373885352
15.236336235048649,-59.85265492599496,62.028037547872955,1.0,1.0,56.13533064600917
15.22695569731297,-59.709776513321955,62.165585882041604,1.0,1.0,56.1353375457748
15.217569378611278,-59.56689810064894,62.302502908450684,1.0,1.0,56.135344438146895
15.208177268123421,-59.424019687975935,62.43879277888527,1.0,1.0,56.13535132285545
15.198779355039296,-59.28114127530293,62.574459590735636,1.0,1.0,56.13535819975683
15.189375628423306,-59.138262862629915,62.709507387706466,1.0,1.0,56.135365068442816
15.179966077795456,-58.9953844499569,62.84394016000406,1.0,1.0,56.13537192946742
15.17055069204054,-58.852506037283895,62.97776184571911,1.0,1.0,56.13537878226145
15.161129460463966,-58.70962762461089,63.11097633222376,1.0,1.0,56.13538562698308
15.151702372108923,-58.566749211937875,63.24358745600535,1.0,1.0,56.13539246348372
15.142269415919289,-58.42387079926487,63.37559900457273,1.0,1.0,56.13539929153997
15.132830580818423,-58.280992386591855,63.5070147150316,1.0,1.0,56.13540611106216
15.123385855999448,-58.13811397391885,63.63783828037473,1.0,1.0,56.135412922086694
15.11393523030639,-57.995235561245835,63.7680733436724,1.0,1.0,56.13541972442841
15.104478692626554,-57.85235714857283,63.897723503625194,1.0,1.0,56.13542651811626
15.095016231908792,-57.70947873589982,64.02679231277523,1.0,1.0,56.13543330300706
15.085547836946647,-57.56660032322681,64.15528327947582,1.0,1.0,56.13544007904659
15.076073496399973,-57.423721910553795,64.28319986846479,1.0,1.0,56.13544684589211
15.06659319935179,-57.28084349788079,64.41054550195344,1.0,1.0,56.13545360398814
15.05710693429132,-57.13796508520778,64.53732355975444,1.0,1.0,56.13546035271951
15.047614689953464,-56.99508667253477,64.66353737859315,1.0,1.0,56.13546709235018
15.038116455160262,-56.85220825986176,64.78919025727225,1.0,1.0,56.13547382275232
15.02861221830595,-56.709329847188755,64.91428545222554,1.0,1.0,56.13548054371086
15.019101968141769,-56.56645143451574,65.03882618155718,1.0,1.0,56.135487255335754
15.009585693156945,-56.42357302184273,65.16281562292338,1.0,1.0,56.135493957411406
15.00006338178948,-56.28069460916972,65.28625691856772,1.0,1.0,56.13550064979755
14.990535022775436,-56.137816196496715,65.40915317069525,1.0,1.0,56.135507332802206
14.981000604409358,-55.9949377838237,65.53150744670829,1.0,1.0,56.13551400600702
14.971460115065945,-55.852059371150695,65.65332277599865,1.0,1.0,56.13552066946361
14.961913543193857,-55.70918095847768,65.77460215120351,1.0,1.0,56.13552732313165
14.952360877128129,-55.566302545804675,65.89534853374398,1.0,1.0,56.135533966936926
14.942802105037114,-55.42342413313166,66.0155648462559,1.0,1.0,56.13554060076834
14.933237215271525,-55.280545720458655,66.13525398031804,1.0,1.0,56.13554722442824
14.923666196039859,-55.13766730778565,66.25441879254613,1.0,1.0,56.135553838029374
14.914089035721414,-54.994788895112634,66.37306210661687,1.0,1.0,56.13556044181318
14.904505722223512,-54.85191048243963,66.49118671376291,1.0,1.0,56.135567035240044
14.894916243693629,-54.709032069766614,66.60879537391604,1.0,1.0,56.13557361833301
14.885320588283724,-54.56615365709361,66.72589081442815,1.0,1.0,56.135580191211936
14.875718744078318,-54.423275244420594,66.8424757333095,1.0,1.0,56.13558675382964
14.86611069896712,-54.28039683174759,66.95855279584289,1.0,1.0,56.13559330602276
14.856496440876462,-54.137518419074574,67.0741246394035,1.0,1.0,56.135599847705656
14.846875957777034,-53.99464000640157,67.1891938704349,1.0,1.0,56.13560637890258
14.837249237633335,-53.851761593728554,67.30376306687958,1.0,1.0,56.13561289955689
14.827616268106652,-53.70888318105555,67.41783477813799,1.0,1.0,56.135619409454634
14.817977037283233,-53.56600476838254,67.5314115246824,1.0,1.0,56.135625909053715
14.808331532593602,-53.42312635570953,67.64449579947357,1.0,1.0,56.135632397623226
14.798679742031194,-53.28024794303652,67.75709006877784,1.0,1.0,56.135638875693346
14.78902165304454,-53.13736953036351,67.86919677028243,1.0,1.0,56.135645342714824
14.779357253457235,-52.9944911176905,67.98081831642148,1.0,1.0,56.13565179904358
14.769686530863424,-52.85161270501749,68.0919570930499,1.0,1.0,56.135658244496994
14.760009472698334,-52.70873429234448,68.20261546030207,1.0,1.0,56.13566467898112
14.750326066610363,-52.565855879671474,68.31279575184075,1.0,1.0,56.13567110254939
14.740636300101835,-52.42297746699846,68.42250027839813,1.0,1.0,56.13567751509499
14.730940160417607,-52.280099054325454,68.53173132313003,1.0,1.0,56.13568391652793
14.72123763518934,-52.13722064165244,68.6404911473505,1.0,1.0,56.13569030696177
14.711528711566249,-51.994342228979434,68.748781986162,1.0,1.0,56.13569668614877
14.701813377054357,-51.85146381630642,68.85660605414442,1.0,1.0,56.135703054272646
14.69209161884528,-51.708585403633414,68.96396553909216,1.0,1.0,56.13570941119619
14.68236342403165,-51.5657069909604,69.07086260713135,1.0,1.0,56.13571575668815
14.672628780116586,-51.422828578287394,69.17729940278605,1.0,1.0,56.13572209113361
14.662887673923288,-51.27995016561438,69.28327804613564,1.0,1.0,56.13572841406692
14.653140092741843,-51.137071752941374,69.38880063707526,1.0,1.0,56.1357347256289
14.643386023608688,-50.99419334026837,69.49386925306779,1.0,1.0,56.13574102582455
14.633625453522457,-50.851314927595354,69.59848594929508,1.0,1.0,56.13574731466681
14.623858369536476,-50.70843651492235,69.70265276110393,1.0,1.0,56.135753592084164
14.614084758447396,-50.565558102249334,69.80637170214186,1.0,1.0,56.135759857880295
14.604304607248462,-50.42267968957633,69.90964476543488,1.0,1.0,56.13576611223065
14.594517902637577,-50.279801276903314,70.0124739246127,1.0,1.0,56.1357723548949
14.58472463166909,-50.13692286423031,70.11486113242047,1.0,1.0,56.13577858608101
14.574924780830102,-49.99404445155729,70.21680832139678,1.0,1.0,56.13578480551454
14.565118337073471,-49.85116603888429,70.31831740615515,1.0,1.0,56.13579101346973
14.555305286848926,-49.70828762621128,70.41939028130014,1.0,1.0,56.13579720955105
14.545485616857377,-49.56540921353827,70.52002882135388,1.0,1.0,56.135803393920035
14.53565931380025,-49.42253080086526,70.62023488367691,1.0,1.0,56.13580956661092
14.52582636408924,-49.27965238819225,70.72001030658716,1.0,1.0,56.13581572748908
14.515986754173992,-49.13677397551924,70.81935690997341,1.0,1.0,56.135821876473905
14.506140470623116,-48.99389556284623,70.918276496158,1.0,1.0,56.13582801377816
14.496287499737997,-48.85101715017322,71.01677084921894,1.0,1.0,56.135834139087756
14.486427827881212,-48.70813873750021,71.11484173591174,1.0,1.0,56.135840252554765
14.476561441388183,-48.5652603248272,71.2124909059235,1.0,1.0,56.13584635411446
14.466688326406032,-48.422381912154194,71.30972009120883,1.0,1.0,56.13585244359897
14.456808469314595,-48.27950349948118,71.406531007713,1.0,1.0,56.13585852120922
14.446921856161975,-48.13662508680817,71.50292535435561,1.0,1.0,56.13586458674763
14.437028473080947,-47.99374667413516,71.59890481268737,1.0,1.0,56.135870640299764
14.427128306159705,-47.85086826146215,71.69447105004807,1.0,1.0,56.13587668178934
14.417221341375786,-47.70798984878914,71.78962571570129,1.0,1.0,56.13588271115089
14.407307565453866,-47.56511143611613,71.8843704430082,1.0,1.0,56.13588873061562
14.397387008176326,-47.42223302344312,71.97870718559336,1.0,1.0,56.13589447186165
14.387436457872818,-47.27935461077011,72.07272103309703,1.0,1.0,56.13582569464787
14.387436457872818,-47.27935461077011,72.07272103309703,1.0,1.0,56.13582569464787
14.368736743260934,-47.01048404783585,72.2483854452561,1.0,1.0,56.135835685952415
14.35001234961951,-46.74161348490159,72.42262338741568,1.0,1.0,56.13584738993168
14.331263491857763,-46.47274292196733,72.59544733920727,1.0,1.0,56.13585904188089
14.312490073832603,-46.20387235903307,72.766867375121,1.0,1.0,56.13587064221385
14.293691998771308,-45.93500179609881,72.93689339384262,1.0,1.0,56.13588219093281
14.27486916926555,-45.66613123316455,73.10553512182894,1.0,1.0,56.13589368805152
14.256021487262437,-45.39726067023029,73.2728021171951,1.0,1.0,56.13590513356835
14.237148854060163,-45.12839010729603,73.43870377339545,1.0,1.0,56.13591652748637
14.218251170301672,-44.85951954436177,73.60324932286532,1.0,1.0,56.13592786980979
14.199328335969277,-44.590648981427506,73.76644784053664,1.0,1.0,56.13593916053841
14.180380250378398,-44.321778418493246,73.92830824723053,1.0,1.0,56.13595039968139
14.161406812168718,-44.052907855558985,74.08883931300251,1.0,1.0,56.13596158723256
14.142407919302737,-43.784037292624724,74.24804966033062,1.0,1.0,56.13597272320124
14.123383469055144,-43.51516672969046,74.40594776726536,1.0,1.0,56.135983807586555
14.104333358007263,-43.246296166756196,74.56254197045511,1.0,1.0,56.13599484038898
14.085257482042469,-42.97742560382194,74.71784046809961,1.0,1.0,56.136005821615036
14.066155736336434,-42.708555040887674,74.8718513228455,1.0,1.0,56.136016751255404
14.047028015354464,-42.43968447795342,75.02458246453604,1.0,1.0,56.13602762931734
14.027874212839333,-42.17081391501915,75.17604169294954,1.0,1.0,56.136038455804744
14.008694221809897,-41.90194335208489,75.32623668045915,1.0,1.0,56.13604923070955
13.989487934551256,-41.63307278915063,75.47517497455051,1.0,1.0,56.136059954040064
13.970255242606337,-41.36420222621637,75.62286400035612,1.0,1.0,56.13607062579525
13.950996036772665,-41.09533166328211,75.76931106309581,1.0,1.0,56.13608124596988
13.93177940319257,-40.82646110034785,75.91413784125658,1.0,1.0,56.13632713998038
13.912466707917991,-40.55759053741359,76.05812166868085,1.0,1.0,56.13633516480327
13.89312677779322,-40.28871997447933,76.2008829347221,1.0,1.0,56.13634442118401
13.873759898549217,-40.01984941154507,76.3424303317392,1.0,1.0,56.13635367070457
13.85436595032587,-39.750978848610806,76.48277062878668,1.0,1.0,56.13636288714473
13.834944819418274,-39.482108285676546,76.62191045855157,1.0,1.0,56.13637207097396
13.815496390879435,-39.213237722742285,76.75985634805981,1.0,1.0,56.136381221502646
13.79602054930142,-38.944367159808024,76.89661472101987,1.0,1.0,56.13639033871299
13.77651717833133,-38.675496596873764,77.03219190298601,1.0,1.0,56.136399422280995
13.756986160991968,-38.4066260339395,77.16659411842033,1.0,1.0,56.13640847209332
13.737427379010924,-38.13775547100524,77.29982749514514,1.0,1.0,56.13641748768868
13.717840713821653,-37.86888490807098,77.43189806685503,1.0,1.0,56.136426469139586
13.698226045524057,-37.60001434513672,77.56281177239504,1.0,1.0,56.1364354159518
13.678583253692539,-37.33114378220246,77.69257445927445,1.0,1.0,56.136444328014285
