EIL2,delta,Energy,Nx,Ny,dtheta0
1.0,0.6482979899497487,31.122692560791315,-59.8072045360579,-1.4482197412581493e-10,11.827022511791357
1.0,0.655835175879397,31.574223792413267,-60.18790165845849,-1.49404567257812e-10,11.924084266111464
1.0,0.6633723618090452,32.02863832943757,-60.57405257058331,-1.4112840542775002e-10,12.021381065662922
1.0,0.6709095477386935,32.48597757335408,-60.96577797935691,-1.7079667362544068e-10,12.118927536671437
1.0,0.6784467336683417,32.94628384348591,-61.363202175239486,-1.4788006590831322e-10,12.21673839595646
1.0,0.68598391959799,33.409600404266904,-61.766453164732795,-1.6769184284229892e-10,12.314828464849162
1.0,0.6935211055276382,33.87597149352957,-62.175662808709205,-1.8278655211340798e-10,12.413212683139495
1.0,0.7010582914572864,34.34544235184488,-62.59096696687099,-1.9166543577677518e-10,12.511906123077953
1.0,0.7085954773869346,34.81805925296338,-63.01250564863956,-2.1256523069575533e-10,12.610924003464719
1.0,0.7161326633165829,35.29386953540555,-63.44042317082788,-2.015552005212893e-10,12.710281703859769
1.0,0.7236698492462311,35.772921635250725,-63.87486832239732,-2.016680737424918e-10,12.809994778944256
1.0,0.7312070351758794,36.25526512018397,-64.31599453672906,-1.8665573894658415e-10,12.910078973065298
1.0,0.7387442211055276,36.74095072485172,-64.76396007175562,-2.0044152330405532e-10,13.010550234994543
1.0,0.7462814070351759,37.23003038759067,-65.2189281983798,-2.4229121520937165e-10,13.111424732931019
1.0,0.7538185929648241,37.722557288591865,-65.68106739763678,-2.68457136273356e-10,13.212718869786901
1.0,0.7613557788944724,38.21858588956339,-66.15055156702624,-2.6375871313992427e-10,13.314449298777454
1.0,0.7688929648241206,38.71817197496918,-66.62756023655962,-2.617432162035393e-10,13.416632939355114
1.0,0.7764301507537689,39.22137269490671,-67.11227879496691,-3.203728427477446e-10,13.519286993525673
1.0,0.7839673366834171,39.72824660971204,-67.60489872670883,-2.91691890820534e-10,13.622428962568351
1.0,0.7915045226130654,40.238853736366664,-68.10561786031872,-3.472331933420814e-10,13.726076664204033
1.0,0.7990417085427136,40.753255596797196,-68.6146406286934,-3.2765057839658514e-10,13.83024825024849
1.0,0.8065788944723618,41.2715152681538,-69.13217834203789,-4.0315144805489807e-10,13.934962224785435
1.0,0.81411608040201,41.79369743516929,-69.65844947412303,-4.007587558346611e-10,14.040237462893328
1.0,0.8216532663316582,42.31986844469695,-70.19367996261927,-4.900809801185141e-10,14.146093229975117
1.0,0.8291904522613065,42.85009636253424,-70.73810352430672,-4.780858661980799e-10,14.252549201727609
1.0,0.8367276381909547,43.38445103264398,-71.2919619859767,-4.410601419741169e-10,14.35962548479109
1.0,0.844264824120603,43.92300413889952,-71.85550563193937,-4.979295946853756e-10,14.46734263813188
1.0,0.8518020100502512,44.465829269468266,-72.42899356907124,-5.184269881920892e-10,14.575721695200356
1.0,0.8593391959798995,45.01300198397961,-73.01269411042394,-7.360830411591068e-10,14.684784186906112
1.0,0.8668763819095477,45.56459988360991,-73.60688517851322,-3.8184780331500075e-10,14.794552165480264
1.0,0.874413567839196,46.12070268423297,-74.2118547292906,-9.204109415238513e-10,14.9050482292605
1.0,0.8819507537688442,46.68139229280403,-74.82790119818686,-7.260140874874237e-10,15.016295548461477
1.0,0.8894879396984925,47.24675288713213,-75.45533396947776,-9.53318417044686e-10,15.128317892000961
1.0,0.8970251256281407,47.816870999226744,-76.094473870232,-1.0316933801388288e-09,15.241139655421419
1.0,0.904562311557789,48.39183560239923,-76.7456536904729,-8.241273948953261e-10,15.354785889988591
1.0,0.9120994974874371,48.9717382023263,-77.40921873107355,-1.1388311578921296e-09,15.469282333043953
1.0,0.9196366834170854,49.556672932273365,-78.08552738100465,-1.1272664711747288e-09,15.584655439653686
1.0,0.9271738693467336,50.14673665271782,-78.77495172583262,-1.1727110838076106e-09,15.700932415662221
1.0,0.9347110552763819,50.74202905559602,-79.47787818920479,-1.4471476539812869e-09,15.818141252211243
1.0,0.9422482412060301,51.34265277342048,-80.19470820957024,-1.1851501775585158e-09,15.936310761822778
1.0,0.9497854271356784,51.94871349356143,-80.92585895415695,-2.701662581087274e-09,16.05547061611809
1.0,0.9573226130653266,52.5603200779341,-81.6717640725012,-1.5469230890396435e-09,16.17565138528629
1.0,0.9648597989949749,53.17758468843546,-82.43287449220094,-2.439479201038956e-09,16.296884579387708
1.0,0.9723969849246231,53.80062291841054,-83.20965925927813,-4.999295614289974e-09,16.419202691612597
1.0,0.9799341708542714,54.42955393052325,-84.00260642624063,-3.989557306148708e-09,16.54263924358392
1.0,0.9874713567839196,55.06450060135978,-84.81222399066107,-5.996763703275492e-09,16.66722883284474
1.0,0.9950085427135679,55.70558967317239,-85.63904088759875,-3.413490812127058e-08,16.793007182646317
1.0,1.002545728643216,56.35295191316344,-86.4836080393501,-1.390000534053863e-07,16.92001119415145
1.0,1.0100829145728643,57.006722280733555,-87.34649946622224,-1.9171940750018066e-06,17.04827900122254
1.0,1.0176201005025125,57.667040103174955,-88.22831346220755,-1.0046070425321734e-06,17.177850027921316
1.0,1.0251572864321608,58.33404926028796,-89.12967383995378,-1.5765297374952397e-07,17.30876504895673
1.0,1.032694472361809,59.00789837844318,-90.05123124939165,-1.2353851283397195e-08,17.441066252891506
1.0,1.0402316582914573,59.68874103466458,-90.99366457512565,4.286608731451226e-09,17.57479730892867
1.0,1.0477688442211055,60.37673597130407,-91.95768241754901,5.389946260127997e-09,17.710003436871098
1.0,1.0553060301507537,61.07204732195438,-92.94402466342305,3.361892622501324e-09,17.84673148068563
1.0,1.062843216080402,61.77484484928673,-93.95346415193863,3.6654877966373686e-09,17.98502998587801
1.0,1.0703804020100502,62.48530419550712,-94.98680844254461,2.630228458450034e-09,18.124949280873064
1.0,1.0779175879396985,63.20360714622459,-96.04490169151515,2.3897789468508945e-09,18.266541562603653
1.0,1.0854547738693467,63.9299419085416,-97.12862664460764,2.655856598103353e-09,18.409860986590445
1.0,1.092991959798995,64.66450340423901,-98.23890675386424,1.4027579931267048e-09,18.554963761723087
1.0,1.1005291457286432,65.40749357900347,-99.37670842671339,1.9554807255032184e-09,18.701908250041843
1.0,1.1080663316582915,66.15912172867895,-100.54304341688379,1.6111011834150086e-09,18.850755071779087
1.0,1.1156035175879397,66.91960484362619,-101.73897136659812,1.912787947099357e-09,19.00156721597303
1.0,1.123140703517588,67.68916797232117,-102.96560251075047,1.7132327122188373e-09,19.15441015693841
1.0,1.1306778894472362,68.46804460540376,-104.2241005541506,1.6244880794215073e-09,19.309351976964862
1.0,1.1382150753768845,69.2564770815007,-105.51568573394525,1.4779175455763078e-09,19.466463495536946
1.0,1.1457522613065327,70.05471701619207,-106.8416380805793,1.5092956939080973e-09,19.625818405473794
1.0,1.153289447236181,70.8630257556211,-108.2033008902745,1.3089873368795807e-09,19.787493416349328
1.0,1.1608266331658292,71.68167485633919,-109.60208442527511,1.2631238698169527e-09,19.9515684056051
1.0,1.1683638190954775,72.51094554852078,-111.03961660456471,2.984717124811035e-13,20.11813536848226
1.0,1.1759010050251257,73.35113344028274,-112.51716912748496,3.125345163743725e-13,20.28726387407821
1.0,1.1834381909547738,74.20254284316405,-114.03651624891226,3.8467895760468913e-13,20.459052655532915
1.0,1.190975376884422,75.06549153905175,-115.5993782575311,5.69151156391121e-13,20.633595942579028
1.0,1.1985125628140703,75.9403103767961,-117.20756492141876,3.884119901121664e-13,20.81099201890491
1.0,1.2060497487437185,76.82734394971556,-118.86298093260935,2.7267038103882934e-13,20.991343428802207
1.0,1.2135869346733668,77.72695131409182,-120.56763171946179,1.7208418476252432e-13,21.174757194833763
1.0,1.221124120603015,78.63950675140065,-122.323629653347,2.2817653647056077e-13,21.3613450470827
1.0,1.2286613065326633,79.56540057721838,-124.13320067816086,7.009495080580093e-14,21.551223664564997
1.0,1.2361984924623115,80.50503999995432,-125.99869139331922,3.5312231604837676e-13,21.74451492940966
1.0,1.2437356783919598,81.45885003278433,-127.92257662320844,1.2489241091949702e-13,21.941346194435035
1.0,1.251272864321608,82.42727226682574,-129.90745645397547,4.433038961500023e-13,22.141849498456644
1.0,1.2588100502512563,83.41077456819102,-131.95610837471747,3.831745401170804e-13,22.346166069776228
1.0,1.2663472361809045,84.40983933534642,-134.07143233005146,-5.888241214284476e-13,22.554440410324144
1.0,1.2738844221105527,85.42497311549458,-136.25650276314389,3.393438962408986e-13,22.766824722268915
1.0,1.281421608040201,86.45670575437828,-138.5145688280733,8.031891907102503e-14,22.983478240868344
1.0,1.2889587939698492,87.50559171321426,-140.84906572725964,6.206983444246389e-13,23.20456759695185
1.0,1.2964959798994975,88.5722114703655,-143.26362685016713,3.058446594470235e-13,23.4302671979049
1.0,1.3040331658291457,89.65717301366766,-145.76209677386854,-3.348020790547951e-14,23.660759628013167
1.0,1.311570351758794,90.76111342976816,-148.34854519120168,-4.886804841700901e-14,23.89623606906935
1.0,1.3191075376884422,91.88470059731372,-151.02728183791726,-4.406946711243051e-13,24.13689674220115
1.0,1.3266447236180905,93.0286349913394,-153.80287249660296,1.6147404750191983e-13,24.38295137194168
1.0,1.3341819095477387,94.19365160677854,-156.6801561622314,-1.5488219063530885e-14,24.63461967364325
1.0,1.341719095477387,95.38052200962585,-159.66426346218557,1.0190939232919428e-13,24.89213186542923
1.0,1.3492562814070352,96.59005652496035,-162.76063643262728,1.2402478195584865e-13,25.155729205996266
1.0,1.3567934673366835,97.8231065717706,-165.97504976328315,5.237477845969798e-13,25.425664559720946
1.0,1.3643306532663317,99.08056715533746,-169.31363363435887,-8.520621078871158e-14,25.70220299070172
1.0,1.37186783919598,100.36337952882141,-172.7828982825729,1.470621018624397e-12,25.985622387579596
1.0,1.3794050251256282,101.6725340366947,-176.38976044853996,-3.2648634901917995e-13,26.276214121243903
1.0,1.3869422110552765,103.00907315375505,-180.14157187523514,1.3024745465788262e-15,26.574283737845878
1.0,1.3944793969849245,104.3740947346849,-184.0461500474474,5.367915307622959e-13,26.880151689928095
